,artist_name,album_name,song_name,popularity,track_id,track_explicit
0,El Paso City,The Essential Marty Robbins 1951-1982,Marty Robbins,41,4CIaUS9qVxS6RsQBnC37EU,False
1,Faleena (from El Paso),The Drifter,Marty Robbins,38,2jqx9Oq9ZErm5ywDblnvHi,False
2,Running Bear - Remastered,Golden Selection (Remastered),Johnny Preston,32,0x6gSfnYA91AHPLvULn5NK,False
3,Running Bear,Greatest Hits,Johnny Preston,36,1RYznli2VNO7FCbW1Hq4KM,False
4,Teen Angel,The Lovin' Touch,Mark Dinning,30,3PymNAkWROfyEVeYq6XtjD,False
5,"The Theme from ""A Summer Place""",16 Most Requested Songs,Percy Faith & His Orchestra,55,6zwvB879PJSpTyFcg2wwnL,False
6,"Theme from ""A Summer Place""","Tara's Theme from ""Gone With The Wind"" and Other Movie Themes",Percy Faith & His Orchestra,22,77laaqPYPavCt1Tsxn4tbK,False
7,Stuck on You,"Elvis' Golden Records, Vol. 3",Elvis Presley,55,39zODpVtRvghMyfNjZ3BVK,False
8,Cathy's Clown - 2007 Remaster,A Date with The Everly Brothers,The Everly Brothers,52,27bw4i8LnECzVlbMZ4kFHw,False
9,Cathy's Clown,The Golden Hits Of The Everly Brothers,The Everly Brothers,47,1MA9StLzlFftLbuqOmoWij,False
10,Cathy's Clown,The Very Best of The Everly Brothers,The Everly Brothers,31,5S5Jusj4MyKCze3YknWWo7,False
11,Cathy's Clown,"Walk Right Back: The Everly Brothers on Warner Brothers, 1960-1969",The Everly Brothers,25,3VpET40k33lJhKY650zLXP,False
12,Cathy's Clown (Single Version),All I Have to Do Is Dream,The Everly Brothers,21,6wKXuvOQxG5Ui1Kv2F68E9,False
13,"Cathy's Clown - Live at the Grand Hotel, Anaheim, CA, February 6, 1970",The Everly Brothers Show,The Everly Brothers,5,0ahp0ZgFHNo8ogCHpabk9e,False
14,Everybody's Somebody's Fool,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,Connie Francis,30,0d8FE2qM1lDEv5TI8VuivT,False
15,Everybody's Somebody's Fool,20th Century Masters: The Millennium Collection: Best of Connie Francis,Connie Francis,6,3ClSxJW0iCR6g6WhElmyF2,False
16,Everybody's Somebody's Fool,Her Greatest Hits & Finest Performances,Connie Francis,5,5BqijaxrkRqCsNDUCep7Yf,False
