,artist_name,album_name,song_name,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,El Paso City,The Essential Marty Robbins 1951-1982,Marty Robbins,41,4CIaUS9qVxS6RsQBnC37EU,False,0.597,0.472,0,-11.721,1,0.0342,0.828,1.55e-06,0.144,0.561,107.59,audio_features,4CIaUS9qVxS6RsQBnC37EU,spotify:track:4CIaUS9qVxS6RsQBnC37EU,https://api.spotify.com/v1/tracks/4CIaUS9qVxS6RsQBnC37EU,https://api.spotify.com/v1/audio-analysis/4CIaUS9qVxS6RsQBnC37EU,251773,4
1,Faleena (from El Paso),The Drifter,Marty Robbins,38,2jqx9Oq9ZErm5ywDblnvHi,False,0.644,0.352,4,-10.562,1,0.0358,0.874,0.0,0.14,0.643,96.896,audio_features,2jqx9Oq9ZErm5ywDblnvHi,spotify:track:2jqx9Oq9ZErm5ywDblnvHi,https://api.spotify.com/v1/tracks/2jqx9Oq9ZErm5ywDblnvHi,https://api.spotify.com/v1/audio-analysis/2jqx9Oq9ZErm5ywDblnvHi,498387,3
2,Running Bear - Remastered,Golden Selection (Remastered),Johnny Preston,32,0x6gSfnYA91AHPLvULn5NK,False,0.762,0.419,5,-9.312,0,0.0653,0.744,0.0,0.144,0.765,119.964,audio_features,0x6gSfnYA91AHPLvULn5NK,spotify:track:0x6gSfnYA91AHPLvULn5NK,https://api.spotify.com/v1/tracks/0x6gSfnYA91AHPLvULn5NK,https://api.spotify.com/v1/audio-analysis/0x6gSfnYA91AHPLvULn5NK,158213,4
3,Running Bear,Greatest Hits,Johnny Preston,36,1RYznli2VNO7FCbW1Hq4KM,False,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,audio_features,1RYznli2VNO7FCbW1Hq4KM,spotify:track:1RYznli2VNO7FCbW1Hq4KM,https://api.spotify.com/v1/tracks/1RYznli2VNO7FCbW1Hq4KM,https://api.spotify.com/v1/audio-analysis/1RYznli2VNO7FCbW1Hq4KM,158200,4
4,Teen Angel,The Lovin' Touch,Mark Dinning,30,3PymNAkWROfyEVeYq6XtjD,False,0.584,0.0863,0,-15.537,1,0.0403,0.775,0.0,0.212,0.46,101.493,audio_features,3PymNAkWROfyEVeYq6XtjD,spotify:track:3PymNAkWROfyEVeYq6XtjD,https://api.spotify.com/v1/tracks/3PymNAkWROfyEVeYq6XtjD,https://api.spotify.com/v1/audio-analysis/3PymNAkWROfyEVeYq6XtjD,158200,4
5,"The Theme from ""A Summer Place""",16 Most Requested Songs,Percy Faith & His Orchestra,55,6zwvB879PJSpTyFcg2wwnL,False,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,audio_features,6zwvB879PJSpTyFcg2wwnL,spotify:track:6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/tracks/6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/audio-analysis/6zwvB879PJSpTyFcg2wwnL,142693,3
6,"Theme from ""A Summer Place""","Tara's Theme from ""Gone With The Wind"" and Other Movie Themes",Percy Faith & His Orchestra,22,77laaqPYPavCt1Tsxn4tbK,False,0.331,0.355,0,-15.07,1,0.031,0.252,0.5,0.267,0.732,186.131,audio_features,77laaqPYPavCt1Tsxn4tbK,spotify:track:77laaqPYPavCt1Tsxn4tbK,https://api.spotify.com/v1/tracks/77laaqPYPavCt1Tsxn4tbK,https://api.spotify.com/v1/audio-analysis/77laaqPYPavCt1Tsxn4tbK,142920,3
7,Stuck on You,"Elvis' Golden Records, Vol. 3",Elvis Presley,55,39zODpVtRvghMyfNjZ3BVK,False,0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,audio_features,39zODpVtRvghMyfNjZ3BVK,spotify:track:39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/tracks/39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/audio-analysis/39zODpVtRvghMyfNjZ3BVK,139640,4
8,Cathy's Clown - 2007 Remaster,A Date with The Everly Brothers,The Everly Brothers,52,27bw4i8LnECzVlbMZ4kFHw,False,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,audio_features,27bw4i8LnECzVlbMZ4kFHw,spotify:track:27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/tracks/27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/audio-analysis/27bw4i8LnECzVlbMZ4kFHw,145933,4
9,Cathy's Clown,The Golden Hits Of The Everly Brothers,The Everly Brothers,47,1MA9StLzlFftLbuqOmoWij,False,0.497,0.582,7,-8.961,1,0.0339,0.412,0.0,0.372,0.866,119.808,audio_features,1MA9StLzlFftLbuqOmoWij,spotify:track:1MA9StLzlFftLbuqOmoWij,https://api.spotify.com/v1/tracks/1MA9StLzlFftLbuqOmoWij,https://api.spotify.com/v1/audio-analysis/1MA9StLzlFftLbuqOmoWij,144013,4
10,Cathy's Clown,The Very Best of The Everly Brothers,The Everly Brothers,31,5S5Jusj4MyKCze3YknWWo7,False,0.508,0.537,7,-11.392,1,0.0339,0.579,0.0,0.137,0.886,120.109,audio_features,5S5Jusj4MyKCze3YknWWo7,spotify:track:5S5Jusj4MyKCze3YknWWo7,https://api.spotify.com/v1/tracks/5S5Jusj4MyKCze3YknWWo7,https://api.spotify.com/v1/audio-analysis/5S5Jusj4MyKCze3YknWWo7,144493,4
11,Cathy's Clown,"Walk Right Back: The Everly Brothers on Warner Brothers, 1960-1969",The Everly Brothers,25,3VpET40k33lJhKY650zLXP,False,0.498,0.582,7,-8.961,1,0.0339,0.412,0.0,0.372,0.866,119.809,audio_features,3VpET40k33lJhKY650zLXP,spotify:track:3VpET40k33lJhKY650zLXP,https://api.spotify.com/v1/tracks/3VpET40k33lJhKY650zLXP,https://api.spotify.com/v1/audio-analysis/3VpET40k33lJhKY650zLXP,144013,4
