,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Lucy In The Sky With Diamonds,Captain Fantastic And The Brown Dirt Cowboy,Elton John,53,13JsYnkF16pHKuOFG6uI1C,False,0.392,0.566,0,-8.127,1,0.0368,0.0889,7.6e-05,0.0676,0.538,164.11,audio_features,13JsYnkF16pHKuOFG6uI1C,spotify:track:13JsYnkF16pHKuOFG6uI1C,https://api.spotify.com/v1/tracks/13JsYnkF16pHKuOFG6uI1C,https://api.spotify.com/v1/audio-analysis/13JsYnkF16pHKuOFG6uI1C,377573,4
1,Lucy In The Sky With Diamonds - Remastered,Diamonds (Deluxe),Elton John,30,0JrJngo3Zn79B294yQRlI2,False,0.369,0.624,0,-7.539,1,0.032,0.036,1.49e-06,0.064,0.47,162.824,audio_features,0JrJngo3Zn79B294yQRlI2,spotify:track:0JrJngo3Zn79B294yQRlI2,https://api.spotify.com/v1/tracks/0JrJngo3Zn79B294yQRlI2,https://api.spotify.com/v1/audio-analysis/0JrJngo3Zn79B294yQRlI2,376800,4
2,Please Mr. Postman,Please Mr. Postman,The Marvelettes,65,6jX5mso4x00c1EiNMrTU9U,False,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,audio_features,6jX5mso4x00c1EiNMrTU9U,spotify:track:6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/tracks/6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/audio-analysis/6jX5mso4x00c1EiNMrTU9U,148040,4
3,Please Mr. Postman - Stereo Version,"Forever: The Complete Motown Albums, Volume 1",The Marvelettes,51,5fNDP3NTdE69szQHUl4fFr,False,0.781,0.837,2,-5.245,1,0.0325,0.711,6.69e-06,0.0565,0.961,120.586,audio_features,5fNDP3NTdE69szQHUl4fFr,spotify:track:5fNDP3NTdE69szQHUl4fFr,https://api.spotify.com/v1/tracks/5fNDP3NTdE69szQHUl4fFr,https://api.spotify.com/v1/audio-analysis/5fNDP3NTdE69szQHUl4fFr,149400,4
4,Please Mr. Postman - Single Version / Mono,Golden Oldies,Various Artists,27,5XOQacpOBZDem3t72MwYME,False,0.77,0.852,2,-2.49,1,0.0332,0.84,0.0,0.113,0.966,120.995,audio_features,5XOQacpOBZDem3t72MwYME,spotify:track:5XOQacpOBZDem3t72MwYME,https://api.spotify.com/v1/tracks/5XOQacpOBZDem3t72MwYME,https://api.spotify.com/v1/audio-analysis/5XOQacpOBZDem3t72MwYME,149293,4
5,Please Mr. Postman,Motown: The Complete No. 1's,Various Artists,17,6mYx20gFEMNp1IPUXfat0i,False,0.779,0.796,2,-3.526,1,0.0319,0.715,0.0,0.148,0.963,120.989,audio_features,6mYx20gFEMNp1IPUXfat0i,spotify:track:6mYx20gFEMNp1IPUXfat0i,https://api.spotify.com/v1/tracks/6mYx20gFEMNp1IPUXfat0i,https://api.spotify.com/v1/audio-analysis/6mYx20gFEMNp1IPUXfat0i,149093,4
6,Please Mr. Postman - Single Version / Mono,60's Gold,Various Artists,23,6Ne72cvQU72uCAqdKdg1nW,False,0.777,0.743,2,-5.23,1,0.0318,0.708,0.0,0.164,0.963,120.994,audio_features,6Ne72cvQU72uCAqdKdg1nW,spotify:track:6Ne72cvQU72uCAqdKdg1nW,https://api.spotify.com/v1/tracks/6Ne72cvQU72uCAqdKdg1nW,https://api.spotify.com/v1/audio-analysis/6Ne72cvQU72uCAqdKdg1nW,148560,4
7,Pick Up the Pieces,AWB,Average White Band,55,2x1LQq8lsUzAA2wNj8yjC9,False,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.889,107.234,audio_features,2x1LQq8lsUzAA2wNj8yjC9,spotify:track:2x1LQq8lsUzAA2wNj8yjC9,https://api.spotify.com/v1/tracks/2x1LQq8lsUzAA2wNj8yjC9,https://api.spotify.com/v1/audio-analysis/2x1LQq8lsUzAA2wNj8yjC9,239908,4
8,The Best of My Love - 2013 Remaster,On the Border (2013 Remaster),Eagles,59,5MLLuLqPdUlx8bfKtdkLwO,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,5MLLuLqPdUlx8bfKtdkLwO,spotify:track:5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/tracks/5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/audio-analysis/5MLLuLqPdUlx8bfKtdkLwO,274891,4
9,The Best of My Love - 2013 Remaster,On the Border (2013 Remaster),Eagles,59,5MLLuLqPdUlx8bfKtdkLwO,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,5MLLuLqPdUlx8bfKtdkLwO,spotify:track:5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/tracks/5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/audio-analysis/5MLLuLqPdUlx8bfKtdkLwO,274891,4
10,The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,49,6x8C7SBqQukeaeh9etWdZY,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,6x8C7SBqQukeaeh9etWdZY,spotify:track:6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/tracks/6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/audio-analysis/6x8C7SBqQukeaeh9etWdZY,274891,4
11,The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,49,6x8C7SBqQukeaeh9etWdZY,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,6x8C7SBqQukeaeh9etWdZY,spotify:track:6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/tracks/6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/audio-analysis/6x8C7SBqQukeaeh9etWdZY,274891,4
