,artist_name,album_name,song_name,popularity,track_id,track_explicit,danceability,energy,key_x,loudness_x,mode_x,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,type,id_x,uri,track_href,analysis_url,duration_ms,time_signature_x,num_samples,duration,analysis_sample_rate,end_of_fade_in,start_of_fade_out,loudness_y,tempo_y,tempo_confidence,time_signature_y,time_signature_confidence,key_y,key_confidence,mode_y,mode_confidence,id_y
0,Marty Robbins,The Essential Marty Robbins 1951-1982,El Paso City,40,4CIaUS9qVxS6RsQBnC37EU,False,0.597,0.472,0,-11.721,1,0.0342,0.828,1.55e-06,0.144,0.561,107.59,audio_features,4CIaUS9qVxS6RsQBnC37EU,spotify:track:4CIaUS9qVxS6RsQBnC37EU,https://api.spotify.com/v1/tracks/4CIaUS9qVxS6RsQBnC37EU,https://api.spotify.com/v1/audio-analysis/4CIaUS9qVxS6RsQBnC37EU,251773,4,5551602,251.77333,22050,0.11723,244.99956,-11.721,107.59,0.767,4,0.708,0,0.914,1,0.788,4CIaUS9qVxS6RsQBnC37EU
1,Marty Robbins,The Drifter,Faleena (from El Paso),37,2jqx9Oq9ZErm5ywDblnvHi,False,0.644,0.352,4,-10.562,1,0.0358,0.874,0.0,0.14,0.643,96.896,audio_features,2jqx9Oq9ZErm5ywDblnvHi,spotify:track:2jqx9Oq9ZErm5ywDblnvHi,https://api.spotify.com/v1/tracks/2jqx9Oq9ZErm5ywDblnvHi,https://api.spotify.com/v1/audio-analysis/2jqx9Oq9ZErm5ywDblnvHi,498387,3,10989426,498.38666,22050,0.24721,492.39075,-10.562,96.896,0.378,3,0.607,4,0.89,1,0.714,2jqx9Oq9ZErm5ywDblnvHi
2,Johnny Preston,Golden Selection (Remastered),Running Bear - Remastered,32,0x6gSfnYA91AHPLvULn5NK,False,0.762,0.419,5,-9.312,0,0.0653,0.744,0.0,0.144,0.765,119.964,audio_features,0x6gSfnYA91AHPLvULn5NK,spotify:track:0x6gSfnYA91AHPLvULn5NK,https://api.spotify.com/v1/tracks/0x6gSfnYA91AHPLvULn5NK,https://api.spotify.com/v1/audio-analysis/0x6gSfnYA91AHPLvULn5NK,158213,4,3488604,158.21333,22050,0.0,151.93398,-9.312,119.964,0.639,4,1.0,5,0.766,0,0.602,0x6gSfnYA91AHPLvULn5NK
3,Johnny Preston,Greatest Hits,Running Bear,36,1RYznli2VNO7FCbW1Hq4KM,False,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,audio_features,1RYznli2VNO7FCbW1Hq4KM,spotify:track:1RYznli2VNO7FCbW1Hq4KM,https://api.spotify.com/v1/tracks/1RYznli2VNO7FCbW1Hq4KM,https://api.spotify.com/v1/audio-analysis/1RYznli2VNO7FCbW1Hq4KM,158200,4,3488310,158.2,22050,1.13624,151.88753,-14.679,119.987,0.7,4,1.0,5,0.686,0,0.585,1RYznli2VNO7FCbW1Hq4KM
4,Mark Dinning,The Lovin' Touch,Teen Angel,29,3PymNAkWROfyEVeYq6XtjD,False,0.584,0.0863,0,-15.537,1,0.0403,0.775,0.0,0.212,0.46,101.493,audio_features,3PymNAkWROfyEVeYq6XtjD,spotify:track:3PymNAkWROfyEVeYq6XtjD,https://api.spotify.com/v1/tracks/3PymNAkWROfyEVeYq6XtjD,https://api.spotify.com/v1/audio-analysis/3PymNAkWROfyEVeYq6XtjD,158200,4,3488310,158.2,22050,0.30227,151.19093,-15.537,101.493,0.438,4,0.767,0,0.886,1,0.725,3PymNAkWROfyEVeYq6XtjD
5,Percy Faith & His Orchestra,16 Most Requested Songs,"The Theme from ""A Summer Place""",54,6zwvB879PJSpTyFcg2wwnL,False,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,audio_features,6zwvB879PJSpTyFcg2wwnL,spotify:track:6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/tracks/6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/audio-analysis/6zwvB879PJSpTyFcg2wwnL,142693,3,3146388,142.69333,22050,0.19642,133.28255,-15.144,186.232,0.695,3,1.0,0,0.27,1,0.486,6zwvB879PJSpTyFcg2wwnL
6,Percy Faith & His Orchestra,"Tara's Theme from ""Gone With The Wind"" and Other Movie Themes","Theme from ""A Summer Place""",21,77laaqPYPavCt1Tsxn4tbK,False,0.331,0.355,0,-15.07,1,0.031,0.252,0.5,0.267,0.732,186.131,audio_features,77laaqPYPavCt1Tsxn4tbK,spotify:track:77laaqPYPavCt1Tsxn4tbK,https://api.spotify.com/v1/tracks/77laaqPYPavCt1Tsxn4tbK,https://api.spotify.com/v1/audio-analysis/77laaqPYPavCt1Tsxn4tbK,142920,3,3151386,142.92,22050,0.24825,142.92,-15.07,186.131,0.447,3,1.0,0,0.456,1,0.593,77laaqPYPavCt1Tsxn4tbK
7,Elvis Presley,"Elvis' Golden Records, Vol. 3",Stuck on You,55,39zODpVtRvghMyfNjZ3BVK,False,0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,audio_features,39zODpVtRvghMyfNjZ3BVK,spotify:track:39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/tracks/39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/audio-analysis/39zODpVtRvghMyfNjZ3BVK,139640,4,3079062,139.64,22050,0.3776,132.51048,-12.372,131.641,0.346,4,0.592,7,0.499,1,0.512,39zODpVtRvghMyfNjZ3BVK
8,The Everly Brothers,A Date with The Everly Brothers,Cathy's Clown - 2007 Remaster,52,27bw4i8LnECzVlbMZ4kFHw,False,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,audio_features,27bw4i8LnECzVlbMZ4kFHw,spotify:track:27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/tracks/27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/audio-analysis/27bw4i8LnECzVlbMZ4kFHw,145933,4,3217830,145.93333,22050,0.3751,140.08598,-10.472,120.042,0.64,4,1.0,7,0.619,1,0.673,27bw4i8LnECzVlbMZ4kFHw
9,The Everly Brothers,The Golden Hits Of The Everly Brothers,Cathy's Clown,47,1MA9StLzlFftLbuqOmoWij,False,0.497,0.582,7,-8.961,1,0.0339,0.412,0.0,0.372,0.866,119.808,audio_features,1MA9StLzlFftLbuqOmoWij,spotify:track:1MA9StLzlFftLbuqOmoWij,https://api.spotify.com/v1/tracks/1MA9StLzlFftLbuqOmoWij,https://api.spotify.com/v1/audio-analysis/1MA9StLzlFftLbuqOmoWij,144013,4,3175494,144.01334,22050,1.0415,140.74776,-8.961,119.808,0.473,4,1.0,7,0.595,1,0.623,1MA9StLzlFftLbuqOmoWij
