,artist_name,album_name,song_name,popularity,track_id,track_explicit
0,Marty Robbins,The Essential Marty Robbins 1951-1982,El Paso City,40,4CIaUS9qVxS6RsQBnC37EU,False
1,Marty Robbins,The Drifter,Faleena (from El Paso),37,2jqx9Oq9ZErm5ywDblnvHi,False
2,Johnny Preston,Golden Selection (Remastered),Running Bear - Remastered,32,0x6gSfnYA91AHPLvULn5NK,False
3,Johnny Preston,Greatest Hits,Running Bear,36,1RYznli2VNO7FCbW1Hq4KM,False
4,Mark Dinning,The Lovin' Touch,Teen Angel,29,3PymNAkWROfyEVeYq6XtjD,False
5,Percy Faith & His Orchestra,16 Most Requested Songs,"The Theme from ""A Summer Place""",54,6zwvB879PJSpTyFcg2wwnL,False
6,Percy Faith & His Orchestra,"Tara's Theme from ""Gone With The Wind"" and Other Movie Themes","Theme from ""A Summer Place""",21,77laaqPYPavCt1Tsxn4tbK,False
7,Elvis Presley,"Elvis' Golden Records, Vol. 3",Stuck on You,55,39zODpVtRvghMyfNjZ3BVK,False
8,The Everly Brothers,A Date with The Everly Brothers,Cathy's Clown - 2007 Remaster,52,27bw4i8LnECzVlbMZ4kFHw,False
9,The Everly Brothers,The Golden Hits Of The Everly Brothers,Cathy's Clown,47,1MA9StLzlFftLbuqOmoWij,False
10,The Everly Brothers,The Very Best of The Everly Brothers,Cathy's Clown,31,5S5Jusj4MyKCze3YknWWo7,False
11,The Everly Brothers,"Walk Right Back: The Everly Brothers on Warner Brothers, 1960-1969",Cathy's Clown,25,3VpET40k33lJhKY650zLXP,False
12,The Everly Brothers,All I Have to Do Is Dream,Cathy's Clown (Single Version),21,6wKXuvOQxG5Ui1Kv2F68E9,False
13,The Everly Brothers,The Everly Brothers Show,"Cathy's Clown - Live at the Grand Hotel, Anaheim, CA, February 6, 1970",6,0ahp0ZgFHNo8ogCHpabk9e,False
14,Connie Francis,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,Everybody's Somebody's Fool,29,0d8FE2qM1lDEv5TI8VuivT,False
15,Connie Francis,20th Century Masters: The Millennium Collection: Best of Connie Francis,Everybody's Somebody's Fool,6,3ClSxJW0iCR6g6WhElmyF2,False
16,Connie Francis,Her Greatest Hits & Finest Performances,Everybody's Somebody's Fool,4,5BqijaxrkRqCsNDUCep7Yf,False
17,Elvis Presley,Elvis 30 #1 Hits,It's Now or Never,58,1XunTmhOcj3xwh4b8P3isX,False
18,Elvis Presley,Platinum - A Life In Music,It's Now or Never,53,6yP3V5FXNNJU8Z441vxhCV,False
19,Elvis Presley,"Elvis' Golden Records, Vol. 3",It's Now or Never,44,5mlaaeSzFsH4ouhLrUHCbw,False
