,Song,Artist(s),year
0,El Paso,Marty Robbins,1960
1,Running Bear,Johnny Preston,1960
2,Teen Angel,Mark Dinning,1960
3,Theme from A Summer Place,Percy Faith,1960
4,Stuck on You,Elvis Presley,1960
5,Cathy's Clown,The Everly Brothers,1960
6,Everybody's Somebody's Fool,Connie Francis,1960
7,Alley Oop,Hollywood Argyles,1960
8,I'm Sorry,Brenda Lee,1960
9,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1960
10,It's Now or Never,Elvis Presley,1960
11,The Twist,Chubby Checker,1960
12,My Heart Has a Mind of Its Own,Connie Francis,1960
13,Mr. Custer,Larry Verne,1960
14,Save the Last Dance for Me,The Drifters,1960
15,I Want to Be Wanted,Brenda Lee,1960
16,Georgia on My Mind,Ray Charles,1960
17,Stay,Maurice Williams and the Zodiacs,1960
18,Are You Lonesome Tonight?,Elvis Presley,1960
19,Wonderland by Night,Bert Kaempfert,1961
20,Will You Love Me Tomorrow,The Shirelles,1961
21,Calcutta,Lawrence Welk,1961
22,Pony Time,Chubby Checker,1961
23,Surrender,Elvis Presley,1961
24,Blue Moon,The Marcels,1961
25,Runaway,Del Shannon,1961
26,Mother-in-Law,Ernie K-Doe,1961
27,Travelin' Man,Ricky Nelson,1961
28,Running Scared,Roy Orbison,1961
29,Moody River,Pat Boone,1961
30,Quarter to Three,Gary U.S. Bonds,1961
31,Tossin' and Turnin',Bobby Lewis,1961
32,Wooden Heart,Joe Dowell,1961
33,Michael,The Highwaymen,1961
34,Take Good Care of My Baby,Bobby Vee,1961
35,Hit the Road Jack,Ray Charles,1961
36,Runaround Sue,Dion,1961
37,Big Bad John,Jimmy Dean,1961
38,Please Mr. Postman,The Marvelettes,1961
39,The Lion Sleeps Tonight,The Tokens,1961
40,Peppermint Twist,Joey Dee and the Starliters,1962
41,Duke of Earl,Gene Chandler,1962
42,Hey! Baby,Bruce Channel,1962
43,Don't Break the Heart That Loves You,Connie Francis,1962
44,Johnny Angel,Shelley Fabares,1962
45,Good Luck Charm,Elvis Presley,1962
46,Soldier Boy,The Shirelles,1962
47,Stranger on the Shore,Mr. Acker Bilk,1962
48,I Can't Stop Loving You,Ray Charles,1962
49,The Stripper,David Rose,1962
50,Roses Are Red (My Love),Bobby Vinton,1962
51,Breaking Up Is Hard to Do,Neil Sedaka,1962
52,The Loco-Motion,Little Eva,1962
53,Sheila,Tommy Roe,1962
54,Sherry,The Four Seasons,1962
55,Monster Mash,Bobby 'Boris' Pickett & the Crypt-Kickers,1962
56,He's a Rebel,The Crystals,1962
57,Big Girls Don't Cry,The Four Seasons,1962
58,Telstar,The Tornados,1962
59,Go Away Little Girl,Steve Lawrence,1963
60,Walk Right In,The Rooftop Singers,1963
61,Hey Paula,Paul & Paula,1963
62,Walk Like a Man,The Four Seasons,1963
63,Our Day Will Come,Ruby & the Romantics,1963
64,He's So Fine,The Chiffons,1963
65,I Will Follow Him,Little Peggy March,1963
