,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
0,el paso city,The Essential Marty Robbins 1951-1982,marty robbins,41,4CIaUS9qVxS6RsQBnC37EU,0,0.597,0.472,0,-11.721,1,0.0342,0.828,1.55e-06,0.144,0.561,107.59,251773,4,5551602,251.77333,0.11723,244.99956,0.767,0.708,0.914,0.788,"['cowboy western', 'nashville sound']",1960,1960
1,faleena from el paso,The Drifter,marty robbins,38,2jqx9Oq9ZErm5ywDblnvHi,0,0.644,0.352,4,-10.562,1,0.0358,0.874,0.0,0.14,0.643,96.896,498387,3,10989426,498.38666,0.24721,492.39075,0.378,0.607,0.89,0.714,"['cowboy western', 'nashville sound']",1960,1960
2,running bear  remastered,Golden Selection (Remastered),johnny preston,32,0x6gSfnYA91AHPLvULn5NK,0,0.762,0.419,5,-9.312,0,0.0653,0.744,0.0,0.144,0.765,119.964,158213,4,3488604,158.21333,0.0,151.93398,0.639,1.0,0.766,0.602,"['brill building pop', 'deep adult standards', 'rock-and-roll', 'rockabilly']",1960,1960
3,running bear,Greatest Hits,johnny preston,36,1RYznli2VNO7FCbW1Hq4KM,0,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,158200,4,3488310,158.2,1.13624,151.88753,0.7,1.0,0.686,0.585,"['brill building pop', 'deep adult standards', 'rock-and-roll', 'rockabilly']",1960,1960
4,teen angel,The Lovin' Touch,mark dinning,30,3PymNAkWROfyEVeYq6XtjD,0,0.584,0.0863,0,-15.537,1,0.0403,0.775,0.0,0.212,0.46,101.493,158200,4,3488310,158.2,0.30227,151.19093,0.438,0.767,0.886,0.725,[],1960,1960
5,the theme from a summer place,16 Most Requested Songs,percy faith & his orchestra,55,6zwvB879PJSpTyFcg2wwnL,0,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,142693,3,3146388,142.69333,0.19642,133.28255,0.695,1.0,0.27,0.486,"['adult standards', 'easy listening', 'lounge']",1960,1960
6,theme from a summer place,"Tara's Theme from ""Gone With The Wind"" and Other Movie Themes",percy faith & his orchestra,22,77laaqPYPavCt1Tsxn4tbK,0,0.331,0.355,0,-15.07,1,0.031,0.252,0.5,0.267,0.732,186.131,142920,3,3151386,142.92,0.24825,142.92,0.447,1.0,0.456,0.593,['easy listening'],1960,1960
7,stuck on you,"Elvis' Golden Records, Vol. 3",elvis presley,55,39zODpVtRvghMyfNjZ3BVK,0,0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,139640,4,3079062,139.64,0.3776,132.51048,0.346,0.592,0.499,0.512,"['rock-and-roll', 'rockabilly']",1960,1960
8,cathys clown  2007 remaster,A Date with The Everly Brothers,the everly brothers,52,27bw4i8LnECzVlbMZ4kFHw,0,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,145933,4,3217830,145.93333,0.3751,140.08598,0.64,1.0,0.619,0.673,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",1960,1960
9,cathys clown,The Golden Hits Of The Everly Brothers,the everly brothers,47,1MA9StLzlFftLbuqOmoWij,0,0.497,0.582,7,-8.961,1,0.0339,0.412,0.0,0.372,0.866,119.808,144013,4,3175494,144.01334,1.0415,140.74776,0.473,1.0,0.595,0.623,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",1960,1960
